time_s,cylinder_AU,cone_s2_AU,cone_s0p5_AU
293.400,0.000564,0.000502,0.000428
293.600,0.000533,0.000456,0.000379
293.800,0.000487,0.000420,0.000352
294.000,0.000440,0.000393,0.000317
294.200,0.000394,0.000348,0.000286
294.400,0.000348,0.000317,0.000224
294.600,0.000317,0.000286,0.000193
294.800,0.000162,0.000162,0.000162
295.000,0.000166,0.000205,0.000128
295.200,0.000131,0.000162,0.000100
295.400,0.000099,0.000140,0.000059
295.600,0.000070,0.000116,0.000023
295.800,0.000039,0.000070,0.000008
296.000,0.000023,0.000070,0.000000
296.200,0.000000,0.000039,0.000000
296.400,0.000000,0.000039,0.000000
296.600,0.000000,0.000008,0.000000
296.800,0.000000,0.000000,0.000000
297.000,0.000000,0.000000,0.000000
297.200,0.000000,0.000000,0.000000
297.400,0.000000,0.000000,0.000000
297.600,0.000000,0.000000,0.000000
297.800,0.000000,0.000000,0.000000
298.000,0.000000,0.000000,0.000000
298.200,0.000000,0.000000,0.000000
298.400,0.000000,0.000000,0.000000
298.600,0.000000,0.000000,0.000000
298.800,0.000000,0.000000,0.000000
299.000,0.000000,0.000000,0.000000
299.200,0.000000,0.000000,0.000000
299.400,0.000000,0.000000,0.000000
299.600,0.000000,0.000000,0.000000
299.800,0.000000,0.000000,0.000000
300.000,0.000000,0.000000,0.000000
300.200,0.000000,0.000000,0.000000
300.400,0.000000,0.000000,0.000000
300.600,0.000000,0.000000,0.000000
300.800,0.000000,0.000000,0.000000
301.000,0.000000,0.000000,0.000000
301.200,0.000000,0.000000,0.000000
301.400,0.000000,0.000000,0.000000
301.600,0.000000,0.000000,0.000000
301.800,0.000000,0.000000,0.000000
302.000,0.000000,0.000000,0.000000
302.200,0.000000,0.000000,0.000000
302.400,0.000000,0.000000,0.000000
302.600,0.000000,0.000000,0.000000
302.800,0.000000,0.000000,0.000000
303.000,0.000000,0.000000,0.000000
303.200,0.000000,0.000000,0.000000
303.400,0.000000,0.000000,0.000000
303.600,0.000000,0.000000,0.000000
303.800,0.000000,0.000000,0.000000
304.000,0.000000,0.000000,0.000000
304.200,0.000000,0.000000,0.000000
304.400,0.000000,0.000000,0.000000
304.600,0.000000,0.000000,0.000000
304.800,0.000000,0.000000,0.000000
305.000,0.000000,0.000000,0.000000
305.200,0.000000,0.000000,0.000000
305.400,0.000000,0.000000,0.000000
305.600,0.000000,0.000000,0.000000
305.800,0.000000,0.000000,0.000000
306.000,0.000000,0.000000,0.000000
